ID,Nom_du_Vin,Type,Region,Cepages,Prix,Description_Narrative,Mots_Cles,Accords_Mets
92,"Pinot Grigio ""Delle Venezie""",Blanc,Italie,Pinot Grigio,"€11,00","Un blanc italien très pâle, léger et croquant. Il sent le citron vert et la pomme verte. C'est le vin ""facile"" par excellence pour un déjeuner en terrasse ou un apéritif improvisé.","Italien, Léger, Citron, Terrasse, Facile","Antipasti, Salade Caprese"
93,"Sauvignon Blanc ""Marlborough""",Blanc,N-Zélande,Sauvignon Blanc,"€18,00","Une bombe exotique venue de Nouvelle-Zélande. Contrairement au Sancerre, celui-ci explose de fruit de la passion, de mangue et d'herbe coupée. Très expressif et moderne.","Exotique, Passion, Explosif, Moderne, Fruit","Cuisine asiatique, Chèvre"
94,"Albariño ""Rias Baixas""",Blanc,Espagne,Albariño,"€15,00","Le vin blanc de la côte atlantique espagnole. Il est salin, iodé et sent la pêche blanche. C'est le mariage absolu avec les tapas de la mer et les crustacés.","Salin, Espagnol, Iodé, Pêche, Tapas","Poulpe à la galicienne, Crevettes"
95,Saint-Joseph Blanc,Blanc,Rhône,"Marsanne, Roussanne","€28,00","Un blanc du Rhône Nord, rare et élégant. Des arômes de chèvrefeuille, de cire d'abeille et d'abricot. Il est gras et ample, parfait pour la haute gastronomie.","Floral, Gras, Gastronomie, Rare, Miel","Volailles à la crème, Ris de veau"
96,"Savennières ""Roche aux Moines""",Blanc,Loire,Chenin,"€35,00","Un blanc sec très droit, tendu et minéral. Il a une austérité noble qui demande du temps. Notes de coing et de tilleul. Un vin intellectuel pour connaisseurs.","Tendu, Minéral, Coing, Austère, Garde","Poissons de rivière, Brochet"
97,"Riesling Mosel ""Kabinett""",Blanc,Allemagne,Riesling,"€16,00","Un blanc allemand léger en alcool, avec un équilibre magique entre le sucre et l'acidité. Très rafraîchissant, il est parfait pour calmer le feu des plats épicés.","Sucré-acide, Léger, Frais, Épicé, Équilibre","Cuisine indienne, Sushi"
98,La Clape Blanc,Blanc,Languedoc,Bourboulenc,"€13,00","Un vin blanc méditerranéen qui sent la mer, le fenouil et les pins. Il est sec mais charnu. Idéal pour accompagner un poisson grillé au bord de l'eau.","Marin, Pinède, Charnu, Sud, Grillade","Poisson grillé, Aïoli"
99,"Vin Orange ""Macération""",Orange,Alsace/Loire,Gewurz/Pinot Gris,"€22,00","Un vin blanc vinifié comme un rouge (avec les peaux). Couleur ambrée, goûts d'écorce d'orange et de thé, avec des tanins. Très atypique, pour les curieux et les aventuriers du goût.","Orange, Atypique, Tannique, Curieux, Nature","Plats fermentés, Fromages affinés"
100,Corton-Charlemagne Grand Cru,Blanc,Bourgogne,Chardonnay,"€120,00","Le roi des vins blancs. Une puissance, une longueur et une complexité infinies. Notes de beurre frais, de noisette, de truffe blanche. Le vin d'une vie, pour une célébration exceptionnelle.","Grand Cru, Mythique, Puissant, Exceptionnel, Truffe","Homard Thermidor, Volaille de Bresse"
101,"Rioja ""Reserva""",Rouge,Espagne,Tempranillo,"€18,00","Un rouge espagnol boisé et vanillé, avec des notes de coco et de fruits rouges compotés. C'est chaleureux, rond et très réconfortant. Idéal pour les tapas ou une soirée ambiance ibérique.","Espagnol, Boisé, Vanille, Chaleureux, Tapas","Jambon Serrano, Chorizo"
102,Chianti Classico,Rouge,Italie,Sangiovese,"€15,00","L'âme de l'Italie. Un vin avec une belle acidité, des arômes de cerise amère et d'origan. Il appelle la tomate, les pâtes et les grandes tablées familiales bruyantes.","Italien, Acide, Cerise, Famille, Pâtes","Lasagnes, Pizza"
103,"Malbec ""Mendoza""",Rouge,Argentine,Malbec,"€14,00","Un rouge velouté, presque noir, qui sent la mûre et la violette. Très rond, sans agressivité. C'est le compagnon idéal d'une très grosse pièce de bœuf grillée au barbecue.","Velouté, Noir, Barbecue, Steak, Doux","Entrecôte, Asado"
104,"Shiraz ""Barossa Valley""",Rouge,Australie,Syrah,"€20,00","Une bombe de fruits et d'épices. C'est puissant, alcooleux, avec des notes de chocolat et d'eucalyptus. Pour ceux qui aiment les vins qui ""envoient"" et qui ont beaucoup de corps.","Puissant, Chocolat, Corps, Intense, Épicé","Gibier, Burger au bleu"
105,"Carmenère ""Gran Reserva""",Rouge,Chili,Carmenère,"€16,00","Un vin rouge végétal et épicé, avec des notes de poivron rouge grillé et de café. Très original et soyeux. Parfait pour changer des classiques français.","Végétal, Poivron, Soyeux, Original, Voyage","Empanadas, Chili con carne"
106,"Zinfandel ""California""",Rouge,USA,Zinfandel,"€22,00","Un rouge californien très mûr, presque sucré (""confituré""), avec des notes de framboise écrasée et de poivre. C'est un vin de plaisir, gourmand et riche.","Mûr, Confiture, Gourmand, Riche, USA",Travers de porc (Ribs)
107,"Pinotage ""Western Cape""",Rouge,Afrique du Sud,Pinotage,"€15,00","Un vin fumé, avec des arômes de café grillé et de fruits noirs. C'est rustique et viril. Il va très bien avec les viandes grillées au feu de bois.","Fumé, Café, Rustique, Grillade, Viril","Saucisses grillées, Curry"
108,Barolo,Rouge,Italie,Nebbiolo,"€45,00","Le ""Vin des Rois"". Très tannique, très acide, très pâle. Il sent la rose fanée et le goudron. Un vin intellectuel, difficile d'accès mais sublime après aération.","Tannique, Complexe, Rose, Garde, Prestigieux",Risotto aux truffes
109,Amarone della Valpolicella,Rouge,Italie,Corvina,"€50,00","Un vin rouge très puissant (15-16%), fait avec des raisins séchés. Il est presque sucré, avec des goûts de raisin sec et de chocolat. Un vin de méditation pour l'hiver.","Puissant, Raisin sec, Chocolat, Hiver, Méditation","Parmesan, Gibier"
110,Ribera del Duero,Rouge,Espagne,Tempranillo,"€25,00","Plus corsé que le Rioja. Un vin noir, dense, concentré. C'est du sérieux. Il faut une viande rouge saignante pour tenir tête à ses tanins.","Noir, Dense, Concentré, Sérieux, Viande",Côte de bœuf
111,Douro Rouge,Rouge,Portugal,Touriga Nacional,"€12,00","Le vin qui sert à faire le Porto, mais en sec. C'est floral (violette) et très structuré. Un excellent rapport qualité-prix pour découvrir le Portugal.","Floral, Structuré, Portugal, Bon plan, Violette",Morue à la portugaise
112,Vinho Verde,Blanc,Portugal,Alvarinho,"€7,00","Un blanc très léger, peu alcoolisé, légèrement pétillant. C'est de l'eau de roche. Le vin le plus désaltérant du monde pour une canicule.","Léger, Pétillant, Soif, Canicule, Pas cher","Sardines grillées, Salade"
113,Grüner Veltliner,Blanc,Autriche,Grüner Veltliner,"€14,00","Un blanc sec avec une note très typique de poivre blanc et de lentille. C'est frais, végétal et très digeste. Superbe sur les légumes.","Poivre, Végétal, Frais, Original, Légumes","Asperges, Escalope viennoise"
114,"Tokaji ""5 Puttonyos""",Liquoreux,Hongrie,Furmint,"€40,00","Un vin de légende. Plus acide que le Sauternes, il goûte la marmelade d'orange et le miel. Un équilibre sucre/acide incroyable. Pour les grandes occasions.","Miel, Orange, Acide, Légende, Dessert","Foie gras, Dessert au chocolat"
115,"Chenin Blanc ""Stellenbosch""",Blanc,Afrique du Sud,Chenin,"€12,00","Un blanc fruité (melon, goyave) et floral. C'est rond et frais à la fois. Un vin blanc facile et joyeux pour l'été.","Fruité, Exotique, Rond, Joyeux, Été",Poulet au citron
116,Torrontés,Blanc,Argentine,Torrontés,"€11,00","Le vin qui sent le parfum de rose et le litchi, mais qui est sec en bouche. Très surprenant et aromatique. Idéal avec la cuisine épicée.","Rose, Parfum, Aromatique, Surprise, Épicé","Cuisine thaï, Empanadas"
117,"Assyrtiko ""Santorini""",Blanc,Grèce,Assyrtiko,"€25,00","Un blanc volcanique. Très minéral, salé, citronné. Il a la puissance de la pierre. C'est le vin absolu pour la cuisine méditerranéenne.","Volcanique, Salé, Minéral, Grèce, Puissant","Poulpe, Feta"
118,Icewine (Vin de Glace),Liquoreux,Canada,Vidal,"€50,00","Un vin récolté gelé. C'est du sirop pur, très intense, goût de mangue et d'abricot. C'est un nectar rare à boire au goutte à goutte.","Glace, Sirop, Intense, Rare, Nectar","Tarte aux fruits, Seul"
119,"Chardonnay ""Napa Valley""",Blanc,USA,Chardonnay,"€30,00","Le style américain : très boisé, très beurré, goût de pop-corn et de vanille. C'est lourd, riche et démonstratif. On aime ou on déteste.","Boisé, Beurré, Pop-corn, Riche, USA","Homard grillé, Dinde"
120,Gaillac Perlé,Blanc,Sud-Ouest,Mauzac,"€8,00","Un blanc avec une toute petite bulle (perlant). C'est frais, goût de pomme verte. Très simple et convivial pour l'apéro.","Perlant, Pomme, Simple, Convivial, Frais","Apéritif, Tapas"
121,Fronton,Rouge,Sud-Ouest,Négrette,"€10,00","Le vin qui sent la violette et la réglisse. C'est souple, fruité et original. Un vin de copains typique de la région toulousaine.","Violette, Réglisse, Souple, Copains, Toulouse","Cassoulet, Saucisse"
122,Cheverny,Blanc,Loire,"Sauvignon, Chardonnay","€11,00",Un mélange original. La fraîcheur du Sauvignon et le gras du Chardonnay. C'est le vin de Loire polyvalent qui va avec tout.,"Polyvalent, Frais, Équilibré, Loire, Facile","Poissons, Fromages"
123,Cour-Cheverny,Blanc,Loire,Romorantin,"€18,00","Un cépage unique au monde (le Romorantin) voulu par François 1er. C'est sec, minéral, notes de miel en vieillissant. Un vin d'histoire.","Histoire, Unique, Sec, Miel, Roi","Asperges, Fromage de chèvre"
124,Coteaux du Giennois,Rosé,Loire,"Pinot Noir, Gamay","€10,00","Un petit rosé de Loire méconnu. Sec, vif, notes de pamplemousse. C'est le challenger pas cher du Sancerre Rosé.","Vif, Pamplemousse, Sec, Pas cher, Challenger","Salades, Grillades"
125,Lirac,Rouge,Rhône,"Grenache, Syrah","€16,00","Le voisin du Châteauneuf-du-Pape, mais deux fois moins cher. Puissant, épicé, fruits rouges écrasés. Le bon plan pour les amateurs de vins forts.","Puissant, Épicé, Bon plan, Fort, Voisin","Daube, Viandes rouges"
126,Luberon Blanc,Blanc,Rhône,"Vermentino, Grenache","€9,00",Un blanc du sud très floral et frais. Ça sent les fleurs blanches et la pêche. C'est le vin blanc des vacances en Provence.,"Floral, Pêche, Frais, Vacances, Provence","Poisson grillé, Légumes"
127,Saint-Peray,Bulles,Rhône,Marsanne,"€20,00","Des bulles fines de la vallée du Rhône. C'est floral, noiseté, assez vineux. Une alternative chic et originale au Champagne.","Bulles, Floral, Noisette, Chic, Original","Apéritif, Gougères"
128,Bugey-Cerdon,Bulles Rosé,Bugey,"Gamay, Poulsard","€13,00",Une bulle rosée très sucrée et peu alcoolisée. Ça goûte la fraise Tagada. C'est le vin préféré des desserts aux fruits rouges.,"Sucré, Fraise, Dessert, Doux, Rose","Tarte aux fraises, Mousse au chocolat"
129,"Lambrusco ""Secco""",Bulles Rouge,Italie,Lambrusco,"€9,00","Oubliez le Lambrusco bas de gamme. Le vrai ""Secco"" est un rouge pétillant sec, qui décape le gras de la charcuterie italienne.","Rouge pétillant, Sec, Italie, Original, Décape","Pizza, Charcuterie"
130,Franciacorta,Bulles,Italie,Chardonnay,"€30,00","La réponse italienne au Champagne. C'est fait pareil (méthode traditionnelle). C'est brioché, élégant et souvent excellent.","Champagne italien, Brioché, Élégant, Classe, Bulles","Risotto, Apéritif"
131,"Cava ""Reserva""",Bulles,Espagne,Xarel-lo,"€12,00","Un Cava vieilli. Plus complexe, notes de grillé et de pomme mûre. Un rapport qualité-prix imbattable pour des bulles sérieuses.","Vieilli, Grillé, Sérieux, Bon plan, Bulles","Tapas, Paella"
132,Crémant de Bourgogne,Bulles,Bourgogne,"Chardonnay, Pinot","€16,00","Le cousin le plus proche du Champagne. Souvent indiscernable à l'aveugle. Beurré, fin, élégant. À acheter les yeux fermés.","Cousin Champagne, Beurré, Fin, Élégant, Sûr","Gougères, Apéritif"
133,Crémant de Limoux,Bulles,Languedoc,"Chardonnay, Chenin","€12,00","Plus floral et moderne que la Blanquette. C'est vif, propre et très bien fait. La bulle parfaite pour les grands événements à petit budget.","Floral, Moderne, Vif, Budget, Événement","Buffet froid, Vins d'honneur"
134,"Cidre ""Cotentin"" (Bonus)",Bulles,Normandie,Pommes,"€6,00","Pour l'originalité ! Un cidre brut, tannique, amer. Ce n'est pas du jus de pomme, c'est un vin de pomme complexe.","Pomme, Amer, Tannique, Original, Terroir","Crêpes, Camembert"
135,"Poiré ""Domfront"" (Bonus)",Bulles,Normandie,Poires,"€8,00","Le ""Champagne normand"". Fait avec des poires. C'est très fin, acidulé, élégant. Une option géniale pour un apéritif léger (4% alcool).","Poire, Fin, Léger, Élégant, Faible alcool","Apéritif, Fruits de mer"
136,Retsina,Blanc,Grèce,Savatiano,"€6,00","Un vin blanc infusé à la résine de pin. Goût très particulier de forêt et de térébenthine. C'est le vin des vacances en Grèce, on adore ou on déteste.","Résine, Pin, Atypique, Grèce, Vacances","Mezzés, Olives"
137,Vin de Paille,Liquoreux,Jura,"Savagnin, Chardonnay","€35,00","Un nectar obtenu en séchant les raisins sur de la paille. Goût de noix, de pruneau, de caramel. C'est un concentré d'arômes.","Paille, Noix, Caramel, Concentré, Rare","Foie gras, Comté vieux"
138,"Banyuls ""Rimage""",Rouge Doux,Roussillon,Grenache,"€18,00","Un vin doux naturel qui goûte le fruit rouge frais (fraise, cassis). Contrairement au Porto, il est sur le fruit, pas sur le cuit. Délicieux sur du chocolat.","Doux, Fruit frais, Rouge sucré, Dessert, Chocolat","Fondant chocolat, Fromage bleu"
139,Maury,Rouge Doux,Roussillon,Grenache,"€20,00","Plus tannique et sombre que le Banyuls. C'est puissant, minéral. Un vin rouge sucré de caractère.","Puissant, Tannique, Rouge sucré, Caractère, Sombre","Gibier aux airelles, Chocolat amer"
140,Pineau des Charentes,Blanc Likoreux,Charentes,Ugni Blanc,"€12,00","Un mélange de jus de raisin et de Cognac. C'est sucré, alcoolisé, notes de miel et de raisin frais. L'apéro des grands-parents qui revient à la mode.","Cognac, Sucré, Miel, Rétro, Apéritif","Melon, Apéritif"
141,Marcillac,Rouge,Sud-Ouest,Fer Servadou,"€10,00","Un vin rouge rugueux, sanguin, avec un goût de poivron et de fer. C'est le vin de l'Aveyron, parfait pour manger de l'aligot.","Rugueux, Fer, Sanguin, Rustique, Aveyron","Aligot, Saucisse"
142,"Palette ""Château Simone""",Blanc,Provence,Clairette,"€45,00","Un blanc de Provence mythique, capable de vieillir 20 ans. Complexe, résineux, magique. C'est un monument historique.","Mythique, Garde, Complexe, Résine, Monument","Bouillabaisse, Truffes"
143,Bellet (Nice),Rosé,Provence,Braquet,"€25,00","Le vin de Nice. Un rosé rare, aux arômes de rose sauvage et d'épices. Très élégant et floral.","Rare, Nice, Rose, Floral, Élégant","Salade niçoise, Socca"
144,Coteaux Varois,Rosé,Provence,"Grenache, Cinsault","€10,00","Le rosé de Provence de l'intérieur des terres. Plus frais, plus acide que ceux du bord de mer. Très désaltérant.","Frais, Acide, Intérieur, Désaltérant, Simple","Grillades, Taboulé"
145,"Bordeaux Blanc ""Entre-Deux-Mers""",Blanc,Bordeaux,Sauvignon,"€9,00","Sec, nerveux, citronné. C'est le ""petit blanc"" parfait pour les huîtres, sans prétention mais toujours efficace.","Sec, Nerveux, Citron, Huîtres, Efficace","Fruits de mer, Fromage de chèvre"
146,Listrac-Médoc,Rouge,Bordeaux,"Merlot, Cabernet","€18,00","Le ""patron"" des petits Bordeaux. Solide, carré, tannique. Un vin qui ne triche pas. Pour les amateurs de vins classiques.","Solide, Carré, Tannique, Classique, Honnête",Entrecôte marchand de vin
147,Saint-Estèphe,Rouge,Bordeaux,Cabernet Sauvignon,"€35,00","Un vin puissant, terreux, viril. Il a besoin de temps. C'est le vin des dimanches pluvieux avec un gigot de 7 heures.","Terreux, Viril, Puissant, Dimanche, Patience","Gigot d'agneau, Champignons"
148,Haut-Médoc,Rouge,Bordeaux,"Cabernet, Merlot","€20,00",L'élégance à prix raisonnable. Des notes de cèdre et de cassis. C'est le vin rouge polyvalent pour un repas soigné.,"Cèdre, Cassis, Élégant, Polyvalent, Soigné","Rôti de veau, Canard"
149,Pessac-Léognan Rouge,Rouge,Bordeaux,"Cabernet, Merlot","€30,00","Un rouge fumé, aux notes de gravier chaud et de tabac. Très racé et élégant. C'est la classe bordelaise.","Fumé, Tabac, Racé, Classe, Élégant","Bœuf grillé, Lamproie"
150,Canon-Fronsac,Rouge,Bordeaux,Merlot,"€18,00","Le challenger de Saint-Émilion. Moins cher, mais tout aussi rond et épicé. Une excellente affaire pour les amateurs de Merlot.","Rond, Épicé, Challenger, Affaire, Merlot","Volailles, Fromages"
